id	file_name
3918b8a1-e2d2-4ecc-97ea-a8ad81474088	TCGA-AA-3966-01Z-00-DX1.7bc0c76e-f2d9-4abd-b63c-dad01aa4b1f7.svs
e7bc1f07-535d-43bf-bd77-75132173ed60	TCGA-AA-3966-01A-01-TS1.129a34e4-6770-4f97-b47a-8a5e27c04007.svs
7c1788fc-daa0-40c8-91e9-002795f917ee	TCGA-AA-3966-01A-01-BS1.6238c7ab-0ae6-43da-af73-2db2d2c98b1b.svs
f2ced6c8-9c9e-4356-a550-0609d2c7ebac	TCGA-AA-3973-01A-01-TS1.75ad0c80-1431-4438-b6e7-6e02c547217e.svs
4c73e391-7f84-46ed-bc2a-ec0f771d0e73	TCGA-AA-3973-01A-01-BS1.a7fedbf4-9afa-44af-aeb5-ff949a13fc2b.svs
79aa3803-9a5f-4589-942c-156b3fd2a62c	TCGA-AA-3973-01Z-00-DX1.05cee752-3f4e-442d-a093-dcfb2b6130f0.svs
d6d7d7ef-f19a-4a0d-8d4f-e6156abdd91e	TCGA-AA-3673-01A-01-TS1.777ea746-5759-45fb-8f4c-01775b41de03.svs
dc246a31-9d41-47a5-8fd1-27401081b7cd	TCGA-AA-3673-01Z-00-DX1.a80676fa-5481-4b63-9639-dbeb31ae82d8.svs
5ecc9c7c-c6c9-439c-b2ba-56acea6cc7fd	TCGA-AA-3673-01A-01-BS1.23a5afa1-7e1d-4c33-826f-938cdc6fd053.svs
45459dcb-37aa-4a6b-980f-0bfafde816dd	TCGA-AA-3538-01A-01-BS1.d16d0717-b87d-43c7-9bdd-65c210b541b8.svs
28e762db-6793-4d92-926f-cb7a755d7439	TCGA-AA-3538-01A-01-TS1.f4f86337-a2db-473d-9421-6c7857cc8be9.svs
2fd860a1-534f-49f7-8169-ece8748480ac	TCGA-AA-3538-01Z-00-DX1.60d0b039-25d6-4b71-a36f-5b2764a983ef.svs
041aa829-b767-4857-a5fa-d66a730fc04c	TCGA-AA-3994-01A-01-BS1.241dc7e2-c505-4844-9e22-0bf5bc74f3d3.svs
89350718-df8f-4620-b45b-724774385f97	TCGA-AA-3994-01A-01-TS1.b70c5afe-b56c-4756-87d3-5b065c10b05b.svs
9b44570d-51dd-4cc4-8ec5-37ede80aca31	TCGA-AA-3994-01Z-00-DX1.ca18c0cb-88b4-4a31-be1f-cca57dfadabc.svs
7bd3167c-fe4b-48ca-b02e-c94e1ebeab20	TCGA-AA-3555-01Z-00-DX1.d471efa5-7638-43e7-a2cd-93c1aed135d0.svs
de88ed26-9fcc-4ec3-a236-71ff71c04168	TCGA-AA-3555-01A-01-BS1.93643572-29c1-42a4-abbf-99dc4a3015a9.svs
7c107cf5-9594-41af-a0a4-aad29f139970	TCGA-AA-3555-01A-01-TS1.02e3b1f8-3dd3-49d9-b95b-cd399178f358.svs
8913ae86-7ed4-4271-b0b6-df936abf0d28	TCGA-AA-3949-01A-01-TS1.a37713f6-3e22-46db-a59f-0c6335c7588b.svs
e235a64a-1b32-4c07-b70c-fa69e892842b	TCGA-AA-3949-01A-01-BS1.97d715e9-87ea-489c-813f-6aa19a6bf1ca.svs
0e720a10-f234-41ae-b885-dc32e86778db	TCGA-AA-3949-01Z-00-DX1.23748e80-0d7e-4238-8b29-f74cddae8596.svs
f0c20f0d-e277-4b57-b896-125b04329098	TCGA-A6-2672-01A-01-BS1.aab0019c-99f1-4580-9b12-b5b81e4e8346.svs
0ec3fb59-63cf-4691-be46-15d2a39c8498	TCGA-A6-2672-01A-01-TS1.cc5bfe43-6b11-4014-b091-de0c344bf466.svs
b6f6d995-1a55-4161-b5be-1dfb5f727f6e	TCGA-A6-2672-11A-01-TS1.97b971ff-0048-46cc-8558-3a2471addba4.svs
39a4f424-780f-44fe-8d60-1e2ffe8ce6c6	TCGA-A6-2672-01Z-00-DX1.e2a845c8-6d77-4120-9f43-abec84a66c1c.svs
eb1f4479-4ccd-4c68-a6a6-e7ff39791eff	TCGA-AA-A00J-01A-03-BS3.6420ca20-aeaa-4ce2-b760-ad2934bbb0c2.svs
dc896a7f-aefd-4885-8123-0fa5fcff67ab	TCGA-AA-A00J-01A-02-BS2.326a55cb-013a-43c9-b0cc-943126d767a7.svs
70723489-5d96-43fb-8ecd-bde16dd808fb	TCGA-AA-A00J-01A-01-BS1.1ef4e828-31d8-4583-9543-3e13a810a844.svs
df3708ed-f6bd-464a-9717-360ab5877e10	TCGA-AA-A00J-01Z-00-DX1.BA85D337-6687-44A6-A8DD-0CE889134BA0.svs
be4a7c36-1e7c-4d64-81f5-05493b3dbd58	TCGA-AA-A01R-11A-01-BS1.5b7f1278-00fb-4711-b7c0-3cb97c1ce757.svs
1f561a7c-8794-4518-a7d4-7ac071809834	TCGA-AA-A01R-11A-01-TS1.469855f3-03d6-437d-8929-9ee95bca04a5.svs
0ebd7fc3-bd6b-408a-b83a-31bc22aab893	TCGA-AA-A01R-01A-01-BS1.b54aed01-30f8-451b-b0cf-0dda6e7991e3.svs
a94b1d5d-192c-4487-8a44-a4521228c58e	TCGA-AA-A01R-01A-02-BS2.3a3e09cf-5585-431e-ae27-1d5918f8ffdd.svs
87c3fcd8-8a5c-4797-9dc3-193077082874	TCGA-AA-A01R-01Z-00-DX1.5D2BEC13-8F61-49D4-A96E-4C6C44BD5A38.svs
