id	file_name
303779c7-953b-4a5b-a817-1d3bf4cc580f	TCGA-A6-6137-01A-01-BS1.41a4a669-6afe-466c-8956-4ebb8415907d.svs
faee5ad2-300c-481f-ac93-86d074775f04	TCGA-A6-6137-01Z-00-DX1.f50ab63c-05b0-49ea-9ceb-ed10cd6dc027.svs
739abfa8-3614-431d-8abe-0ea453f6d7ef	TCGA-A6-6137-01A-01-TS1.58247feb-5bdc-41e1-9075-908a65c40273.svs
6e24d6c9-c684-4bb6-8297-f49a6afd73d7	TCGA-G4-6626-01Z-00-DX1.20e7691e-9ef5-4278-a7d4-3967e36f24d5.svs
7032a5b3-51fe-4697-b8f8-0409e7e0104e	TCGA-G4-6626-01A-01-TS1.ead940f8-7954-4d82-b034-4350a8fe5782.svs
456092be-68ce-4372-8345-2ae1f1e0e12c	TCGA-G4-6626-01A-01-BS1.8e656fd0-6f9f-4725-8f63-499fb9e1fadb.svs
871c2b48-1461-40b9-a517-7a67474b22fa	TCGA-G4-6299-01Z-00-DX1.22701e3b-7bfb-45ad-9382-842b2da0387a.svs
09ab0b31-7d9c-4f35-ba36-e8e3360248bf	TCGA-G4-6299-01A-01-TS1.3c01095e-1eec-4319-9d76-2eef156f7214.svs
04c6021e-24a0-45e9-8514-ae45d49eaac4	TCGA-G4-6299-01A-01-BS1.f0d2d057-fd89-4144-b426-bd47304c3b69.svs
17eb2473-7018-474e-ad62-e95be30edcb1	TCGA-D5-6540-01Z-00-DX1.4ca9e502-959b-4fa8-a748-5fd0878e5c3f.svs
6a283b8b-39d4-419a-955a-429943392bc3	TCGA-D5-6540-01A-01-TS1.7899b2d1-a50d-4855-b7e6-63ff744db107.svs
4160bd61-a4bb-4df6-a91c-ae162d0c83b3	TCGA-D5-6540-01A-01-BS1.bcfa6961-2130-46d2-a47b-c0222cebdb4b.svs
f45e8181-fa59-480c-9d25-f7fbf78e6151	TCGA-AU-6004-01A-01-TS1.668305f0-c96b-4472-abdb-56d75eddb342.svs
5faaf55f-a794-4761-90c7-1b6ac528230c	TCGA-AU-6004-01Z-00-DX1.12a234b3-1843-47ca-b650-37c1a631f489.svs
