2025-05-07 13:34:50,492 - INFO - Loading pretrained weights from Hugging Face hub (paige-ai/Virchow2)
2025-05-07 13:34:50,541 - INFO - [paige-ai/Virchow2] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2025-05-07 13:35:54,542 - INFO - Loading pretrained weights from Hugging Face hub (paige-ai/Virchow2)
2025-05-07 13:35:54,589 - INFO - [paige-ai/Virchow2] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2025-05-07 13:35:55,187 - INFO - ❌ Failed to process .ipynb_checkpoints: torch.cat(): expected a non-empty list of Tensors
2025-05-07 13:35:55,266 - INFO - ✅ Skipping TCGA-AA-3518, already exists.
2025-05-07 13:35:55,266 - INFO - ✅ Skipping TCGA-AA-3519, already exists.
2025-05-07 13:35:55,266 - INFO - ✅ Skipping TCGA-AA-3520, already exists.
2025-05-07 13:35:55,267 - INFO - ✅ Skipping TCGA-AA-3521, already exists.
2025-05-07 13:35:55,267 - INFO - ✅ Skipping TCGA-AA-3522, already exists.
2025-05-07 13:35:55,267 - INFO - ✅ Skipping TCGA-AA-3524, already exists.
2025-05-07 13:35:55,267 - INFO - ✅ Skipping TCGA-AA-3525, already exists.
2025-05-07 13:35:55,267 - INFO - ✅ Skipping TCGA-AA-3526, already exists.
2025-05-07 13:35:55,267 - INFO - ✅ Skipping TCGA-AA-3527, already exists.
2025-05-07 13:35:55,267 - INFO - ✅ Skipping TCGA-AA-3529, already exists.
2025-05-07 13:35:55,267 - INFO - ✅ Skipping TCGA-AA-3530, already exists.
2025-05-07 13:35:55,268 - INFO - ✅ Skipping TCGA-AA-3531, already exists.
2025-05-07 13:35:55,268 - INFO - ✅ Skipping TCGA-AA-3532, already exists.
2025-05-07 13:35:55,268 - INFO - ✅ Skipping TCGA-AA-3534, already exists.
2025-05-07 13:35:55,268 - INFO - ✅ Skipping TCGA-AA-3538, already exists.
2025-05-07 13:35:55,268 - INFO - ✅ Skipping TCGA-AA-3542, already exists.
2025-05-07 13:35:55,268 - INFO - ✅ Skipping TCGA-AA-3543, already exists.
2025-05-07 13:35:55,268 - INFO - ✅ Skipping TCGA-AA-3544, already exists.
2025-05-07 13:35:55,269 - INFO - ✅ Skipping TCGA-AA-3548, already exists.
2025-05-07 13:35:55,269 - INFO - ✅ Skipping TCGA-AA-3549, already exists.
2025-05-07 13:35:55,269 - INFO - ✅ Skipping TCGA-AA-3552, already exists.
2025-05-07 13:35:55,269 - INFO - ✅ Skipping TCGA-AA-3553, already exists.
2025-05-07 13:35:55,269 - INFO - ✅ Skipping TCGA-AA-3554, already exists.
2025-05-07 13:35:55,269 - INFO - ✅ Skipping TCGA-AA-3555, already exists.
2025-05-07 13:35:55,269 - INFO - ✅ Skipping TCGA-AA-3556, already exists.
2025-05-07 13:35:55,269 - INFO - ✅ Skipping TCGA-AA-3558, already exists.
2025-05-07 13:35:55,270 - INFO - ✅ Skipping TCGA-AA-3560, already exists.
2025-05-07 13:35:55,270 - INFO - ✅ Skipping TCGA-AA-3561, already exists.
2025-05-07 13:35:55,270 - INFO - ✅ Skipping TCGA-AA-3562, already exists.
2025-05-07 13:35:55,270 - INFO - ✅ Skipping TCGA-AA-3655, already exists.
2025-05-07 13:35:55,270 - INFO - ✅ Skipping TCGA-AA-3660, already exists.
2025-05-07 13:35:55,270 - INFO - ✅ Skipping TCGA-AA-3662, already exists.
2025-05-07 13:35:55,270 - INFO - ✅ Skipping TCGA-AA-3663, already exists.
2025-05-07 13:35:55,271 - INFO - ✅ Skipping TCGA-AA-3664, already exists.
2025-05-07 13:35:55,271 - INFO - ✅ Skipping TCGA-AA-3666, already exists.
2025-05-07 13:35:55,271 - INFO - ✅ Skipping TCGA-AA-3667, already exists.
2025-05-07 13:35:55,271 - INFO - ✅ Skipping TCGA-AA-3672, already exists.
2025-05-07 13:35:55,271 - INFO - ✅ Skipping TCGA-AA-3673, already exists.
2025-05-07 13:35:55,271 - INFO - ✅ Skipping TCGA-AA-3675, already exists.
2025-05-07 13:35:55,271 - INFO - ✅ Skipping TCGA-AA-3678, already exists.
2025-05-07 13:35:55,271 - INFO - ✅ Skipping TCGA-AA-3679, already exists.
2025-05-07 13:35:55,272 - INFO - ✅ Skipping TCGA-AA-3680, already exists.
2025-05-07 13:35:55,272 - INFO - ✅ Skipping TCGA-AA-3681, already exists.
