2025-05-07 14:02:29,662 - INFO - Loading pretrained weights from Hugging Face hub (paige-ai/Virchow2)
2025-05-07 14:02:29,711 - INFO - [paige-ai/Virchow2] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2025-05-07 14:02:52,660 - INFO - ❌ Failed to process .ipynb_checkpoints: torch.cat(): expected a non-empty list of Tensors
2025-05-07 14:02:52,749 - INFO - ✅ Skipping TCGA-D5-6898, already exists.
2025-05-07 14:02:52,749 - INFO - ✅ Skipping TCGA-D5-6920, already exists.
2025-05-07 14:02:52,749 - INFO - ✅ Skipping TCGA-D5-6922, already exists.
2025-05-07 14:02:52,750 - INFO - ✅ Skipping TCGA-D5-6923, already exists.
2025-05-07 14:02:52,750 - INFO - ✅ Skipping TCGA-D5-6924, already exists.
2025-05-07 14:02:52,750 - INFO - ✅ Skipping TCGA-D5-6926, already exists.
2025-05-07 14:02:52,750 - INFO - ✅ Skipping TCGA-D5-6927, already exists.
2025-05-07 14:02:52,750 - INFO - ✅ Skipping TCGA-D5-6928, already exists.
2025-05-07 14:07:48,278 - INFO - ✅ Saved 14725 embeddings to virchow_features/TCGA-D5-6929.h5
2025-05-07 14:09:05,663 - INFO - ✅ Saved 3458 embeddings to virchow_features/TCGA-D5-6930.h5
2025-05-07 14:11:12,180 - INFO - ✅ Saved 6006 embeddings to virchow_features/TCGA-D5-6931.h5
2025-05-07 14:12:35,381 - INFO - ✅ Saved 3663 embeddings to virchow_features/TCGA-D5-6932.h5
2025-05-07 14:14:04,450 - INFO - ✅ Saved 4032 embeddings to virchow_features/TCGA-D5-7000.h5
2025-05-07 14:17:16,823 - INFO - ✅ Saved 9360 embeddings to virchow_features/TCGA-DC-4745.h5
2025-05-07 14:20:53,931 - INFO - ✅ Saved 10752 embeddings to virchow_features/TCGA-DC-4749.h5
2025-05-07 14:23:15,122 - INFO - ✅ Saved 6715 embeddings to virchow_features/TCGA-DC-5337.h5
2025-05-07 14:27:39,719 - INFO - ✅ Saved 13110 embeddings to virchow_features/TCGA-DC-5869.h5
2025-05-07 15:22:21,653 - INFO - Loading pretrained weights from Hugging Face hub (paige-ai/Virchow2)
2025-05-07 15:22:21,763 - INFO - [paige-ai/Virchow2] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
2025-05-07 15:22:22,639 - INFO - ❌ Failed to process .ipynb_checkpoints: torch.cat(): expected a non-empty list of Tensors
