id	file_name
158a9449-075b-4fba-a146-9d426d207b1e	TCGA-CA-6717-01Z-00-DX1.08da75b7-a08f-46b3-a8c0-24f601ec4558.svs
2c275682-06bf-4321-9135-890af2807717	TCGA-G4-6304-01Z-00-DX1.cf678a4f-5448-4d6a-a36f-cd1aec4d48a7.svs
16a5bceb-dba9-4c63-92bf-a63c5901d0b6	TCGA-CK-4947-01Z-00-DX1.b257d5fd-b97b-4987-b088-77f044ca7fe2.svs
21471300-f78e-4174-bdc9-7a4076c5f1b7	TCGA-CM-5868-01Z-00-DX1.70f2e193-248d-4bf9-a875-49c314223f70.svs
5f46d414-f2e3-4250-baad-474f623ce5c2	TCGA-CM-6675-01Z-00-DX1.4f2301e2-2894-484d-8a52-7be902a9861b.svs
2704d972-b63d-4db8-b1e4-56ba9721d6a6	TCGA-AZ-4614-01Z-00-DX1.c1488dfe-528f-4dd4-b5f8-da81fbb4ec0b.svs
45292bb4-733b-4636-ade7-4a8c6d6bfc16	TCGA-D5-6923-01Z-00-DX1.ad5211f6-32a3-42c6-8594-93cb4432b5f6.svs
2b02baad-7143-4fea-9f28-ff2d4efc4044	TCGA-D5-6932-01Z-00-DX1.d18111de-f0f5-4637-8534-a2b4396cbb41.svs
3db6186a-d812-4d9d-a7e8-a7f0c0aa140a	TCGA-SS-A7HO-01Z-00-DX1.D20B9109-F984-40DE-A4F1-2DFC61002862.svs
0b9fadfc-f3ba-4af2-899c-bf804369fd55	TCGA-A6-A567-01Z-00-DX1.F941874E-9BF7-4E8B-908C-41A638D62275.svs
001b7d97-9425-43c3-a9a3-a36cb3d2a591	TCGA-A6-2686-01Z-00-DX1.0540a027-2a0c-46c7-9af0-7b8672631de7.svs
d5b766d5-9f09-46a2-84c4-2eec944efc7f	TCGA-CM-6171-01Z-00-DX1.74d4391e-3dbc-4ad4-b188-3b11ac65e6d8.svs
808c0782-1739-4c70-a26f-8fe8c4ae8f64	TCGA-CA-6715-01Z-00-DX1.d5db8085-f91a-4eee-b15f-61960af713af.svs
2adbf842-77f4-4fa9-a440-9ef5c53de2fd	TCGA-CK-5915-01Z-00-DX1.04650539-005e-4221-90d6-49706b1d7244.svs
656ada04-4d7a-48ee-9d56-b6c0cc959874	TCGA-A6-A566-01Z-00-DX1.325BC1B7-2D0D-43CC-A23B-7D13B2DF665D.svs
930bd45f-64f8-48a9-a4f3-e14c383ce6b6	TCGA-CA-5254-01Z-00-DX1.cd986205-1db0-457b-9a28-75bed56376cb.svs
962c448f-ab98-45c8-a6cd-43a54a797371	TCGA-A6-5666-01Z-00-DX1.6f2cf971-edcb-415d-9709-feb7422cddc4.svs
301a0478-49d9-4adf-b060-baf2b8cd8e51	TCGA-A6-5659-01Z-00-DX1.c671806f-013e-4d99-9841-cda5bd43eff1.svs
741c96f0-28ee-4a7b-9720-3afa20f69229	TCGA-AZ-4615-01Z-00-DX1.ecabbbb1-c1ed-4f60-b44f-b07eaa177208.svs
